nivel,partida,letras,palabras
1,1,TNEELE,LENTE;ENTE;LEEN;TELE;LEE;TEN;EL;EN;LE;TE
1,1,UNBMOL,BULON;NUBLO;MULO;NULO;OMBU;BOL;UNO;LO;NO;UN
1,2,ZEETNR,ENTRE;RETEN;TENER;ENTE;RETE;TREN;TEN;TEZ;EN;TE
1,2,SSBIAO,SABIOS;OASIS;SABIO;BOAS;IBAS;ASI;BOA;IBA;OIA;SOS;AS;OI;SI
1,2,LMOILN,MILLON;LIMON;LINO;ION;LIO;MIL;MIO;OLI;LO;MI;NI;NO;OI
1,3,SHEUSO,HUESOS;HUESO;SESOS;ESOS;HUSO;SESO;USES;USOS;ESO;USE;USO;ES;SU
1,3,LLOSIN,SILLON;SI;NO;NI;LO;LIO;LOS;NOS;SIN;SON;SOL;LINO;LIOS;NILO;LISO
1,3,EPMNAA,EN;AMA;AME;PAN;AMAN;AMEN;MAPA;NAPA;PENA;AMENA;APENA;EMANA;EMPANA
2,1,GLREIS,GIRES;RIGES;GIRE;GRIS;RIEL;GEL;GIL;LEI;LES;REI;RES;RIE;SER;IR;LE;SE;SI
2,1,OGSAIH,HIGOS;OIGAS;HAGO;HIGO;OIGA;SIGA;SIGO;SOGA;AHI;ASI;GAS;HAS;OSA;AS;HA;SI
2,2,ETOMAT,TOMATE;TOTEM;ATEO;MATE;MATO;META;METO;TETA;TOMA;AMO;ATO;TE;MOTE;TEMA;TOME
2,2,YAPLAS,AL;AS;LA;YA;ALA;ASA;LAS;SAL;ALAS;ASPA;PALA;PASA;SALA;YAPA;PALAS;PLAYA;PLAYAS
2,3,ÑNOISE,IONES;NIÑOS;NIÑO;SENO;SIEN;SINO;SOÑE;ESO;ION;NOS;OIS;SIN;SON;EN;ES;NI;NO;SE;SI
2,3,LIMZEA,LAME;LAMI;LEIA;LEMA;LIMA;MAIZ;MALI;MIEL;AME;IZA;LEA;LEI;MAL;MIA;MIL;AL;EL;LA;MI
3,1,RRAEPO,OPERAR;REPARO;OPERA;PERRO;PERRA;ORAR;ROER;RARO;PARO;ROPA;PEOR;PERA;PROA;REO;PERO
3,1,ANÑUAC,ACUÑAN;ACUNA;ACUÑA;CUÑAN;CANA;CAÑA;CUAN;CUNA;CUÑA;NUCA;ACA;ANA;AUN;CAN;UNA;UÑA;UN
3,2,RKAMSA,KARMAS;ARMAS;KARMA;RAMAS;AMAR;AMAS;ARMA;ASAR;ASMA;MASA;RAMA;AMA;ASA;MAR;MAS;RAS;AS
3,2,GTROAU,GATO;AUTO;ARO;GOTA;GRUA;OTRA;ROTA;RUTA;TOGA;TOUR;AUTOR;TRAGO;ORUGA;TAURO;TARUGO;ORA
3,3,AJRISV,SIRVA;VISAR;AJIS;IRAS;RIAS;RISA;VIAS;VISA;AJI;ASI;IRA;RAS;RIA;VAS;VIA;AS;IR;SI;VA;VI
3,3,RTESOR,TORRES;RESTO;RETOS;RETRO;TORRE;TOSER;ERRO;ESTO;RETO;TERO;TOSE;TRES;ESO;RES;SER;TOS;ESE;ES;TE
4,1,NAUALM,ALUMNA;MANUAL;ANUAL;ANULA;ALMA;AMAN;ANAL;AULA;LANA;LUNA;MALA;MULA;NULA;ALA;AMA;AUN;MAL;UNA;AL;LA;UN
4,1,PARMAL,AL;LA;ALA;AMA;MAL;MAR;PAR;ALMA;ARMA;AMAR;ARPA;MALA;MAPA;PALA;PARA;RAMA;RAPA;PALMA;PARLA;RAMAL;RAMPA;PALMAR
